City,City,Country,Lat,Humidity,Temp (F),Wind Speed (mph),Percent of Clouds,Date
153,Mount Gambier,AU,-37.83,81,53.6,6.93,0,1550750400
154,Edmundston,CA,47.36,78,9.63,6.93,90,1550750040
155,Clyde River,CA,70.47,67,-23.81,5.82,1,1550750400
156,Touros,BR,-5.2,70,86.0,6.93,40,1550750400
157,Jumla,NP,29.28,98,31.58,1.59,92,1550752948
158,Kadoma,ZW,-18.34,55,83.51,6.73,0,1550752948
159,Auburn,US,32.61,100,59.7,4.05,90,1550751300
160,Bekhtery,UA,46.25,34,48.2,22.37,0,1550750400
161,Baie-Comeau,CA,49.22,85,11.97,13.87,90,1550751120
162,Pemba,MZ,-12.97,74,86.0,11.41,20,1550750400
163,Adjumani,UG,3.38,90,82.43,4.61,32,1550752950
164,Bayangol,MN,48.91,60,10.48,2.71,0,1550752950
165,Elizabeth City,US,36.3,93,46.89,6.93,90,1550751300
166,Souillac,FR,45.6,51,60.8,6.93,0,1550750400
167,Colorado,BR,-22.84,89,75.01,8.86,20,1550752947
168,Turbat,PK,26.0,45,66.68,14.34,0,1550752952
169,Garowe,SO,8.41,29,92.6,10.09,0,1550752952
170,Batagay,RU,67.65,0,-47.62,2.71,0,1550752952
171,Vaini,IN,15.34,19,91.4,3.36,20,1550750400
172,San Ignacio,CL,-36.8,93,62.6,2.24,75,1550750400
173,Kenora,CA,49.76,92,15.04,3.36,90,1550750400
174,Ostersund,SE,63.18,85,19.4,12.75,75,1550749800
175,Kot Diji,PK,27.34,69,67.85,7.4,0,1550752954
176,Harsova,RO,44.68,34,53.6,10.29,0,1550750400
177,Polson,US,47.69,56,14.0,14.99,1,1550750100
178,La Palma,CO,5.36,98,65.38,2.15,80,1550752955
179,Manzanillo,CU,20.34,100,75.23,15.46,0,1550752955
180,Port Hardy,CA,50.7,100,28.4,2.24,75,1550750400
181,Sal Rei,CV,16.18,57,77.0,11.41,0,1550750400
182,Payo,ID,-3.75,94,76.31,2.59,80,1550752956
183,Kayerkan,RU,69.35,71,-6.18,6.51,56,1550752957
184,Evensk,RU,61.92,100,-13.56,5.39,12,1550752957
185,Coihaique,CL,-45.58,75,44.69,3.15,20,1550750400
186,Houston,US,29.76,76,52.39,12.75,90,1550751300
187,Kununurra,AU,-15.77,66,84.2,3.36,68,1550750400
188,Whitehorse,CA,60.72,78,15.8,12.75,90,1550750400
189,Kaeo,NZ,-35.1,95,66.32,10.2,100,1550752958
190,La Rioja,AR,-29.41,59,81.49,6.4,0,1550752958
191,Olinda,EC,-2.03,94,78.8,3.36,90,1550750400
192,Chancay,PE,-11.56,88,73.4,2.24,0,1550750400
193,Suntar,RU,62.16,81,7.78,4.72,24,1550752959
194,Te Anau,NZ,-45.41,82,55.07,11.65,12,1550752960
195,Torbay,CA,47.66,77,3.2,21.92,75,1550750400
196,Cotonou,BJ,6.37,79,87.8,12.75,20,1550750400
197,Saint-Georges,CA,46.12,85,17.23,5.95,92,1550752960
198,Zyryanka,RU,65.73,68,-23.37,2.59,64,1550752961
199,Dikson,RU,73.51,76,-3.75,20.71,36,1550752961
200,Puerto Ayora,EC,-0.74,78,78.8,2.24,0,1550750400
201,Half Moon Bay,US,37.46,75,43.83,22.06,40,1550750400
202,Hamilton,BM,32.3,67,60.8,8.05,20,1550750100
203,Tuktoyaktuk,CA,69.44,95,4.58,9.64,56,1550752964
204,Mahebourg,MU,-20.41,66,87.8,16.11,75,1550750400
205,Kedrovyy,RU,56.17,47,35.6,4.47,0,1550750400
206,La Ronge,CA,55.1,75,-16.61,3.36,40,1550750400
207,Ende,ID,-8.84,100,80.9,4.05,24,1550752966
208,Bredasdorp,ZA,-34.53,51,82.4,17.22,40,1550750400
209,Pringsewu,ID,-5.36,84,78.92,2.37,44,1550752967
210,Egvekinot,RU,66.32,76,6.02,8.97,64,1550752967
211,Suleja,NG,9.18,34,93.2,3.36,0,1550746800
212,Alofi,NU,-19.06,88,78.8,13.87,92,1550750400
213,Wanning,AT,48.64,62,51.8,12.75,75,1550749800
214,Khatanga,RU,71.98,76,-11.98,13.78,36,1550752967
215,Tabriz,IR,38.08,45,44.6,11.41,40,1550750400
216,Camacupa,AO,-12.02,68,80.18,7.29,12,1550752968
217,Nizwa,OM,22.93,24,78.65,3.94,0,1550752968
218,Shingu,JP,33.72,100,51.38,14.0,0,1550752969
219,Huangmei,CN,30.1,100,42.25,3.94,92,1550752969
220,Waitati,NZ,-45.75,70,57.41,6.62,0,1550752969
221,Havelock,US,34.88,100,52.34,2.71,90,1550751600
222,Albanel,CA,48.88,84,6.8,3.71,90,1550750400
223,Ondjiva,AO,-17.07,21,91.4,6.93,0,1550750400
224,Dzierzoniow,PL,50.73,70,48.2,10.29,40,1550750400
225,Kenai,US,60.55,85,23.0,6.93,90,1550751840
226,Hearst,CA,49.69,81,12.77,3.49,80,1550752971
227,Maceio,BR,-9.67,58,84.2,9.17,75,1550750400
228,Karonga,MW,-9.94,100,80.9,5.84,64,1550752971
229,Tiksi,RU,71.64,74,-11.8,11.99,44,1550752972
230,Taoudenni,ML,22.68,24,76.18,10.09,0,1550752972
231,Taylorville,US,39.55,88,30.92,5.82,1,1550751300
232,Norrtalje,SE,59.76,54,30.81,10.29,0,1550749800
233,Coahuayana,MX,18.62,78,50.75,1.14,0,1550752973
234,Sibolga,ID,1.74,98,73.25,1.59,56,1550752973
235,Rawson,AR,-43.3,30,57.86,11.21,56,1550752973
236,Butig,PH,7.74,71,69.43,2.59,0,1550752974
237,Bathsheba,BB,13.22,65,80.6,23.04,40,1550750400
238,Paciran,ID,-6.9,87,78.56,2.37,56,1550752975
239,Ambilobe,MG,-13.19,99,81.31,3.15,36,1550752975
240,Guarapari,BR,-20.67,83,84.2,4.7,40,1550750400
241,Santa Marta,CO,11.24,78,77.0,30.89,40,1550750400
242,Itarema,BR,-2.92,100,78.38,2.71,76,1550752979
243,Hasaki,JP,35.73,61,42.57,8.05,75,1550750400
244,Sidi Ali,DZ,36.1,81,60.79,3.83,0,1550752980
245,Esperance,TT,10.24,69,80.6,13.87,20,1550750400
246,San Angelo,US,31.46,69,39.2,3.36,1,1550749860
247,Allahabad,IN,25.44,72,75.28,6.17,12,1550752981
248,Houma,CN,35.63,65,32.93,2.15,88,1550752982
249,Tuatapere,NZ,-46.13,97,58.36,12.33,68,1550752982
250,Porto Novo,BR,-23.68,88,73.4,2.24,40,1550750400
251,Jinchang,CN,38.52,77,17.36,2.04,88,1550752983
252,Mitsamiouli,KM,-11.38,95,83.42,2.48,12,1550752983
253,Padang,ID,-0.92,78,82.4,4.7,20,1550750400
254,Ancud,CL,-41.87,93,46.4,3.36,75,1550750400
255,Ilulissat,GL,69.22,78,15.8,12.75,75,1550749800
256,Constitucion,MX,23.99,52,46.4,8.05,90,1550747040
257,San Patricio,PY,-26.98,71,83.15,3.6,0,1550752984
258,Abha,SA,18.22,77,62.74,13.87,75,1550750400
259,Monte Gordo,ES,37.18,72,60.8,13.87,40,1550750400
260,Omboue,GA,-1.57,100,82.52,5.5,76,1550752984
261,Vardo,US,39.62,80,32.76,3.36,1,1550751300
262,Lastoursville,GA,-0.81,86,76.63,3.15,92,1550752985
263,Dwarka,IN,28.58,53,77.92,8.05,75,1550750400
264,Acapulco,MX,16.86,88,71.6,3.36,5,1550749740
265,Bilibino,RU,68.06,49,-30.84,2.15,20,1550752986
266,Progreso,UY,-34.68,74,78.8,12.21,75,1550750400
267,Jalu,LY,29.03,43,69.47,5.61,0,1550752986
268,Sambava,MG,-14.27,100,83.6,10.65,0,1550752987
269,Waddan,LY,29.16,31,67.58,8.41,0,1550752987
270,Bodden Town,KY,19.28,88,77.0,6.93,40,1550750400
271,Okhotsk,RU,59.36,100,-10.5,4.94,0,1550752988
272,Tura,IN,25.52,62,69.79,4.61,0,1550752988
273,Koltubanovskiy,RU,52.94,93,26.05,17.58,92,1550752988
274,Lake City,US,38.03,92,11.21,3.36,90,1550750160
275,Hithadhoo,MV,-0.6,100,77.8,6.4,92,1550752989
276,Dongsheng,CN,29.72,96,40.4,7.96,88,1550752992
277,Hami,CN,42.84,60,33.43,8.63,0,1550752993
278,Semirom,IR,31.41,32,43.73,4.72,0,1550752993
279,Barra do Garcas,BR,-15.89,88,77.0,3.38,75,1550750400
280,Kieta,PG,-6.22,84,81.49,5.73,0,1550752993
281,Lagoa,PT,37.14,72,60.8,13.87,40,1550750400
282,Noumea,NC,-22.28,62,84.2,2.24,90,1550750400
283,Henties Bay,NA,-22.12,81,74.11,4.94,12,1550752994
284,Beloha,MG,-25.17,90,79.33,9.08,44,1550752994
285,Chumikan,RU,54.72,86,2.2,2.59,24,1550752995
286,Cabo San Lucas,MX,22.89,62,59.0,12.21,90,1550751120
287,Rocha,UY,-34.48,57,83.6,6.17,8,1550752995
288,Vilcun,CL,-38.65,87,57.2,2.24,75,1550750400
289,Mudgee,AU,-32.6,68,69.8,12.75,75,1550750400
290,Honningsvag,NO,70.98,58,24.46,18.34,20,1550749800
291,Chara,GR,39.42,29,63.54,6.93,20,1550749800
292,Colares,PT,38.8,67,59.0,14.99,20,1550750400
293,Axim,GH,4.87,92,83.78,14.12,68,1550752997
294,Sorland,NO,67.67,59,33.58,10.29,0,1550749800
295,Sayyan,YE,15.17,24,75.32,7.63,20,1550752997
296,Katsuura,JP,33.93,83,42.49,11.41,75,1550750400
297,Chifeng,CN,42.27,65,17.95,2.59,0,1550752998
298,Svetlogorsk,RU,53.14,46,28.4,22.37,40,1550750400
299,Kloulklubed,PW,7.04,94,75.2,5.82,90,1550749800
300,Peniche,PT,39.36,67,59.0,14.99,20,1550750400
301,Warman,CA,52.32,84,-2.21,6.93,90,1550750400
302,Gorontalo,ID,0.54,75,77.98,2.26,12,1550752999
303,Bowen,AU,-20.01,88,78.8,4.7,75,1550750580
304,Vagur,FO,61.47,85,49.0,22.62,92,1550753000
305,Demba,CD,-5.47,75,83.83,2.82,48,1550753000
306,Porbandar,IN,21.64,63,79.55,13.22,0,1550752922
307,Yulara,AU,-25.24,23,87.8,6.93,0,1550750400
308,Montrose,AU,-37.81,67,62.6,11.41,90,1550750400
309,Santa Maria,BR,-29.69,79,77.71,8.41,0,1550753003
310,Batemans Bay,AU,-35.71,97,62.63,4.83,76,1550753004
311,Challans,FR,46.85,100,46.98,5.82,90,1550750400
312,Gouyave,GD,12.16,65,80.6,18.34,20,1550750400
313,Ayr,GB,55.46,82,54.14,14.99,75,1550749800
314,Westport,IE,53.8,81,53.6,20.8,75,1550750400
315,Praia,BR,-20.25,93,64.4,4.7,75,1550750400
316,La Baule-Escoublac,FR,47.28,93,45.21,6.93,90,1550750400
317,Abdulino,RU,53.68,92,24.25,17.02,92,1550753007
318,Yichang,CN,30.77,86,38.29,4.61,12,1550753007
319,Dunedin,NZ,-45.87,70,57.41,6.62,0,1550752895
320,Matara,PE,-13.74,75,44.6,3.36,75,1550750400
321,Walvis Bay,NA,-22.95,45,86.0,10.29,0,1550750400
322,Gunjur,GM,13.18,19,87.8,12.75,20,1550750400
323,Broome,GB,52.47,82,55.04,13.87,75,1550750760
324,Adrar,DZ,27.87,28,69.8,14.99,0,1550750400
325,Treinta y Tres,UY,-33.23,61,82.25,10.42,0,1550753010
326,Kutum,SD,14.2,35,76.0,7.4,36,1550753010
327,Lincoln,GB,53.23,76,57.0,18.34,75,1550749800
328,Seoul,KR,37.57,86,32.23,2.24,1,1550751600
329,Qingdao,CN,36.09,64,35.6,2.24,32,1550750400
330,Kalmunai,LK,7.42,99,76.45,7.29,92,1550753011
331,Rorvik,NO,64.86,100,30.55,21.39,80,1550753012
332,Flinders,AU,-34.58,72,66.2,8.05,90,1550750400
333,Nome,US,30.04,87,51.31,6.93,90,1550751420
334,Tierra Blanca,MX,18.45,93,67.81,3.6,92,1550753016
335,Grand-Lahou,CI,5.24,57,90.04,8.97,80,1550753026
336,Samarai,PG,-10.62,89,85.67,27.54,12,1550753026
337,Rawalpindi,PK,33.6,71,57.2,4.7,75,1550750400
338,Uhlove,UA,44.82,97,44.45,16.69,48,1550753027
339,Sarangani,PH,5.4,94,81.31,10.42,64,1550753028
340,Manaure,CO,11.78,73,77.0,11.41,40,1550750400
341,Umm Lajj,SA,25.02,66,73.88,12.77,32,1550753028
342,Casa Grande,US,32.88,52,46.99,10.29,90,1550751300
343,Karibib,NA,-21.94,27,94.54,4.83,20,1550753029
344,Chapais,CA,49.78,92,10.4,6.93,90,1550750400
345,Hammerfest,NO,70.66,58,27.64,18.34,0,1550749800
346,Makakilo City,US,21.35,88,63.99,3.36,1,1550750220
347,Portland,US,45.52,92,31.1,2.48,1,1550750940
348,Cidreira,BR,-30.17,84,78.02,5.73,0,1550753032
349,Ambulu,ID,-8.35,100,79.28,0.69,64,1550753032
350,Santa Isabel do Rio Negro,BR,-0.41,100,74.11,1.14,88,1550753033
351,Kiama,AU,-34.67,72,66.2,8.05,90,1550750400
352,Talnakh,RU,69.49,69,-5.77,3.71,64,1550753034
353,Solnechnyy,RU,50.72,76,9.04,3.38,8,1550753034
354,Vao,EE,59.1,71,20.96,10.42,0,1550753035
355,Matay,EG,28.42,39,70.1,6.96,0,1550753035
356,Saskylakh,RU,71.97,79,-18.6,10.09,64,1550753035
357,Sao Joao da Barra,BR,-21.64,74,82.4,3.36,0,1550750400
358,Dalby,AU,-27.18,64,75.2,17.22,0,1550750400
359,Predivinsk,RU,57.07,90,30.68,2.48,80,1550753036
360,Quimper,FR,48.0,76,55.04,11.41,20,1550750400
361,Vrangel,RU,42.73,96,33.88,14.67,0,1550753036
362,Sergeyevka,KZ,53.88,83,18.35,18.7,24,1550753037
363,Los Llanos de Aridane,ES,28.66,60,68.0,17.22,20,1550750400
364,Plettenberg Bay,ZA,-34.05,97,68.26,7.07,88,1550753037
365,Cap Malheureux,MU,-19.98,66,87.8,16.11,75,1550750400
366,Marawi,PH,8.0,71,69.43,2.59,0,1550753038
367,Portsmouth,GB,50.8,81,51.8,4.7,75,1550749800
368,Pacific Grove,US,36.62,65,41.31,11.41,40,1550751300
369,Shenjiamen,CN,29.96,100,47.2,15.01,92,1550753038
370,Fort-Shevchenko,KZ,44.51,93,43.69,23.51,92,1550753039
371,Hastings,NZ,-39.64,91,68.3,10.76,12,1550752998
372,Perumpavur,IN,10.13,46,91.4,8.05,20,1550750400
373,Christiana,ZA,-27.91,19,93.5,11.77,12,1550753039
374,Yeppoon,AU,-23.13,69,82.4,8.05,40,1550750400
375,Billings,US,45.79,92,14.0,5.82,90,1550749980
376,Senno,RU,57.76,42,26.6,15.66,8,1550750400
377,Ketchikan,US,55.34,100,34.77,3.36,90,1550749980
378,Bara,NG,10.41,19,97.28,7.18,0,1550753041
379,Dumabato,PH,16.32,92,64.3,2.59,0,1550753042
380,Mengcheng,CN,33.26,70,41.48,4.94,92,1550753042
381,Pangai,TO,-19.8,74,80.6,10.29,75,1550750400
382,Nabire,ID,-3.36,87,69.92,2.15,20,1550753043
383,Taonan,CN,45.34,51,25.96,7.29,24,1550753043
384,Kiunga,PG,-6.12,98,71.05,2.59,100,1550753043
385,Talara,PE,-4.58,90,71.72,2.71,0,1550753043
386,Mahon,IE,51.89,87,51.8,20.8,75,1550750400
387,Amapa,HN,15.09,94,69.8,1.92,20,1550750400
388,Elko,US,40.83,85,19.4,5.82,90,1550750160
389,Deputatskiy,RU,69.3,0,-38.76,2.82,24,1550753044
390,Winnipeg,CA,49.88,84,3.2,9.17,40,1550750400
391,Moussoro,TD,13.64,18,91.52,9.42,12,1550753044
392,Aswan,EG,24.09,35,71.0,5.61,92,1550753045
393,Milkovo,BG,41.53,28,59.14,14.99,8,1550750400
394,Zurrieq,MT,35.83,67,59.0,3.36,75,1550751300
395,Laguna,MX,27.52,73,40.67,2.71,0,1550753045
396,Porosozero,RU,62.72,64,18.62,11.88,68,1550753046
397,Ulladulla,AU,-35.36,72,66.2,8.05,90,1550750400
398,Zhanakorgan,KZ,43.91,83,32.35,4.72,0,1550753046
399,Gat,SN,14.69,13,86.0,13.87,0,1550750400
400,Soma,JP,37.8,69,37.4,3.36,20,1550750400
401,Yurovka,RU,45.11,70,48.2,17.9,0,1550750400
402,Vanimo,PG,-2.67,95,83.74,23.51,48,1550753047
403,Quatre Cocos,MU,-20.21,66,87.8,16.11,75,1550750400
404,Demyansk,RU,57.64,70,20.96,24.85,76,1550753048
405,Kavaratti,IN,10.57,100,83.15,12.55,0,1550753048
406,Turayf,SA,31.68,38,59.0,7.4,40,1550750400
407,General Roca,AR,-39.03,68,66.2,6.4,0,1550750400
408,Zeya,RU,53.74,74,12.32,3.04,36,1550753049
409,Bambous Virieux,MU,-20.34,66,87.8,16.11,75,1550750400
410,Honiara,SB,-9.43,100,72.58,2.93,56,1550753049
411,Pangkalanbuun,ID,-2.68,86,80.18,2.59,64,1550753049
412,Newport,GB,51.59,81,53.98,13.87,75,1550749800
413,Husavik,CA,50.56,91,10.25,8.75,92,1550753050
414,Paris,FR,48.86,58,56.93,1.12,0,1550750400
415,Houlton,US,46.13,85,12.09,4.7,90,1550751420
416,Victoria Point,AU,-27.58,69,78.17,11.41,20,1550750400
417,New Glasgow,CA,45.59,74,5.75,4.38,80,1550752891
418,Verkhnyaya Inta,RU,65.99,78,10.3,2.37,80,1550753051
419,Richards Bay,ZA,-28.77,74,80.5,12.44,8,1550753051
420,Saint-Paul,FR,45.22,27,62.6,4.16,0,1550750400
421,Necochea,AR,-38.55,64,75.77,15.46,92,1550753052
422,Tangshan,CN,39.63,79,34.15,8.19,20,1550753052
423,Sarahan,IN,31.51,97,19.39,3.6,92,1550753052
424,Filadelfia,PY,-22.35,64,85.4,8.63,0,1550753053
425,Okha,RU,53.59,88,9.94,10.65,80,1550753053
